# Bundesland;Name des Betriebs ;Straße / Haus-Nr.;Ort;Alte Zulassungs-nummern;Neue Zulassungsnummer;Zulassungsnummer Eierpackstellen;CS;RW;WM;SH;CP;SH;CP;SH;CP;GHE;CP;MM;MP;MSM;PP;CC;PP;CC;PP;CC;PP;CC;PP;CC;PP;EPC;LEP;PP;AH;FV;ZV;FFPP;PP;WM;PC;DC;PP;Einschränkungen;Bemerkungen;Zulassung befristet bis;Zulassung ruht seit;Drittlandzulassungen;
HE;Lothar & Benjamin Dippel GbR;Asbacher Straße 1;36251 Bad Hersfeld;;HE 30309;;;;;P;P;;;;;;;;P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;LSG Sky Chefs Frankfurt ZD GmbH - Geschäftsführer Karl-Heinz Schneider und Hans-Joachim Wolf;Jean-Gardner-Batten-Straße 5;60549 Frankfurt am Main;;HE 10153;;;;;;;;;;;;;;B, P, A, wA, wG, wU, C, O, L, fG, R, wL;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;M. H. Fleisch- und Wursthandel;Kasseler Straße 6;34628 Willingshausen;;HE 30330;;;;;B, O, P;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Maliesenhof-Ziegenkäserei;Nordstr 30;34513 Waldeck;;HE 30905;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;;;;;;;;;;;;
HE;Manfred Engelbach;Breitenweg 2;35117 Münchhausen;;HE 21024;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
HE;Langklingerhof Landmetzgerei GmbH & Co. KG, Herrmann Wagner;Langklingerhof 1;69509 Mörlenbach;;HE 10397;;;;;B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Lebenshilfe für geistig und mehrfach Behinderte Wetzlar-Weilburg e. V.;Loherstraße 16;35614 Aßlar;;HE 20008;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
HE;Manfred Wagner, Wagner`s Wurstkammer;Gartenstraße 21;37293 Herleshausen;;HE 30130;;;;;B, P;B, P;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Marianne Jung;Brückenstraße 20;35781 Weilburg;;HE 20161;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Marienhof Müller KG;Münzenbergerstraße 30;35410 Hungen;;HE 20262;;;;;;;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Martin Henkel;Wolferoderstraße 17;35260 Stadtallendorf;;HE 20189;;;;;B, O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Matthias Pflüger;Weißenbachstraße 1;37247 Großalmerode;;HE 30278;;;;;;B, C, O, P;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Melchior Metzgereiprodukte GmbH;Augustenburgstraße 1;60488 Frankfurt am Main;;HE 10306;;;;;;B, O, P;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei & Gaststätte Pfarrer;k.a. 0;61200 Wölfersheim;;HE 10157;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Andreas Riehl;Freitagsgasse 13;64319 Pfungstadt;;HE 10406;;;;;B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei August Wolf;Obergassee 11;35519 Rockenberg;;HE 10186;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Bach;Mittelstraße 53;63667 Nidda;;HE 10201;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Becker, Inh. Wilhelm Becker;Alsfelder Straße 8;36329 Romrod;;HE 20244;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Bernd Röder;Ringweg 9a;36396 Steinau an der Straße;;HE 10297;;;;;B, O, P;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Binzer;Hauptstraße 2;35510 Butzbach;;HE 10177;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Brinkmann, Inhaber Torsten Brinkmann;Grünberger Straße 29;35447 Reiskirchen;;HE 20270;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Bruno Weber;Dr. Marx-Ehrenpfordt-Straße 15;35287 Amöneburg;;HE 20192;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Christ;Ohmstraße 13;35315 Homberg (Ohm);;HE 20248;;;;;B, P;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Christoph Siefert;Hirschhorner Straße 38;64743 Beerfelden;;HE 10205;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Der Ludwig, Inhaber Dirk Ludwig;Fuldaer Straße 2;36381 Schlüchtern;;HE 10321;;;;;B, P;B, O, P;;A;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Fleischerei Rainer Bardeleben;Wesetalstraße 8;34549 Edertal;;HE 30288;;;;;B, O, P;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Fleischerei Röse;Jeuststraße 8;35114 Haina (Kloster);;HE 30108;;;;;S, B, O, P, C;S, B, O, P, C;;;;;;;S, B, O, P, C;S, B, O, P, C;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Fleischerei Rudi Döring;Kasseler Straße 14;34311 Naumburg;;HE 30195;;;;;B, O, P, C;B, O, P, C;;;;;;;B, P, A;B, P, A;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Fleischerei Schneider;Wolkersdorfer Straße 2;35099 Burgwald;;HE 30116;;;;;B, O, P;B, O, P;;;;;wU, wG;wU, wG;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Fleischerei Markus Seng;Dorfstraße 6;36151 Burghaun-Steinbach;;HE 30194;;;;;;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Fleischerei Sturm GmbH;Mittelstraße 1;34253 Lohfelden;;HE 30236;;;;;P;P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Fleischerei Thomas Becker;Schloßstraße 6;34632 Jesberg;;HE 30254;;;;;P;P;;;;;wU;wU;P;P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Fleischerei und Gaststätte Jürgen Krause;Kasselerstraße 31;34513 Waldeck;;HE 30121;;;;;P;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Fleischerei Uwe Groh;Am Frankenhain 20;34599 Neuental;;HE 30161;;;;;B, P;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Fleischerei Wassmuth;Mittelstraße 17;34466 Wolfhagen;;HE 30239;;;;;P;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Fleischerei Werner;Ritterstraße 7;34225 Baunatal;;HE 30240;;;;;B, P;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Fleischerei Werner;Rieschstraße 8;35110 Frankenau;;HE 30291;;;;;B, O, P;B, P;;;;;;;B;P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Fleischerei Witzel;Bornbergstraße 2;36266 Heringen (Werra);;HE 30303;;;;;P;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Fleischereibedarf Michael Erzgräber;Erbacher Straße 66;64380 Roßdorf;;HE 10032;;;X;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;
HE;Fleischereifachgeschäft Schumacher, Inhaber Frank Schumacher;Welleröder Straße 1;34253 Lohfelden;;HE 30160;;;;;P;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Fleischerei-Partyservice Nitzsche;Schulstraße 5;35423 Lich;;HE 20231;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Fleischerfachgeschäft Heinz Werner Kühner;Kirschenstraße 49;68519 Viernheim;;HE 10413;;;;;;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Fleischer-Fachgeschäft Krug;k.a. 0;34225 Baunatal;;HE 30221;;;;;B, P;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Fleischerfachgeschäft Theo Hahn GmbH & Co. KG;Schmidtgasse 2;36341 Lauterbach;;HE 20206;;;;;B, P;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Fleischgroßhandel Eberhard Friz GmbH;Stierstädter Straße 14;60486 Frankfurt am Main;;HE 10389;;;;;;B, P;;A;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Fleischhandel Peter Hübner;Keileweg 3;64658 Fürth;;HE 10370;;;;;;;;;;;;;;B, P, A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Fleischkontor Hessen GmbH;Gabelsberger Straße 54;35576 Wetzlar;;HE 20123;;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;forifun auf der Horst GmbH, Geschäftsführer Stephan auf der Horst;Carl-Benz-Straße 16;60386 Frankfurt am Main;;HE 10394;;;;;;B, O;;A;;;;;;B, A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Frank Simon, Klosterhof;Gomfritz 3;36381 Schlüchtern;;HE 10901;;;;;;;;;;;;;;;;;;;;;;;;;;B, C;;;;;;;;;;;;;;;;;;
HE;Friedhelm Kuhaupt;k.a. 0;34466 Wolfhagen;;HE 30187;;;;;P;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Gasthaus Metzgerei Beisel;Edertalstraße 44;69509 Mörlenbach;;HE 10246;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Gaststätte und Fleischerei Reinhold Knies;Thüringer Straße 12;36266 Heringen (Werra);;HE 30304;;;;;P;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Geflügelhof Herbert Bleuel GbR;Fuldaer Straße 40;36145 Hofbieber;;HE 30170;;;;;;;A;A;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;
HE;Geflügelhof Koch;Brückenweg 4;35066 Frankenberg (Eder);;HE 31016;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Geflügelhof Otto;Felsbergerstraße 11;34323 Malsfeld;;HE 31038;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Geflügelhof Sauer;k.a. 0;34311 Naumburg;;HE 30107;;;;;;B, P;;A;;;;;B, P, A;B, P, A;;mp;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;
HE;Geflügelhof Schneider, Hildegard und Alfred Schneider;An der Dornhecke 38;63654 Büdingen;;HE 11029;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
HE;Geflügelhof W. und T. Thomas GbR;Unterweisenborn 41;36277 Schenklengsfeld;;HE 31031;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Geflügelzucht Horst-Hermann Häde;Nürnberger Straße 52;36211 Alheim;;HE 31007;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Gemeinschaftsverpflegungsbetrieb B T B - GmbH;Vogelsbergstraße 25;36341 Lauterbach;;HE 20003;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Gemeinschaftsverpflegungsbetrieb Werkstatt für Behinderte, Florentine;k.a. 0;35619 Braunfels;;HE 20001;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Georg USBEK GmbH;Am Gelicht 2;35279 Neustadt (Hessen);;HE 20800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
HE;Gerhard Petzel;k.a. 0;36251 Bad Hersfeld;;HE 30103;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Gözde Döner Produktion GmbH;Sandwiesenstraße 18A;64665 Alsbach-Hähnlein;;HE 10160;;;;;;S, B, O, P, C;;A;;;;;;S, B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Gries und Meuser GbR;Westerwaldstraße 9;35792 Löhnberg;;HE 21026;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
HE;GT Ronny Taube Fleischhandelsgesellschaft mbH;Münchener Straße 23;64521 Groß-Gerau;;HE 10004;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Plukon Gudensberg GmbH;Besser Straße 45;34281 Gudensberg;;HE 30104;;;;;;;A;A;;;;;;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Mihm;k.a. 0;36142 Tann (Rhön);;HE 30172;;;;;S, B, O, P, C;B, O, P, C;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH;WKS Winfried Heine GmbH;Werner-von-Siemens-Straße 5;99625 Kölleda;TH-EV 3016, TH-EV 3016; ;;;X;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;Canada(0,RW)Canada(VI,PP);
NI;Ehler Lohmann;Eichenstraße 24;27313 Dörverden;;NI 15219;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BE;Krüger-Fenner GbR - Rote Ziege Catering;Zinzendorfstraße 8;10555 Berlin;;BE 20123;;;;;;;;;;;;;;A;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NI;DIF Organveredlung - Gerhard Küpers GmbH & Co. KG;Waldstraße 7;49632 Essen (Oldenburg);;NI 11095;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
BY;Geflügel Schmidt;Neuersdorf 32;92253 Schnaittenbach;;BY 30585;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ST;CJD Sangerhausen;Hasentorstraße  7;06526 Sangerhausen;;ST 00292;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;
ST;Dussmann AG & Co. KGaA;Am Kämmereiforst  9-11;39638 Gardelegen;;ST 00280;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;
ST;PuS Catering GmbH;Bethanienstraße  10;39288 Burg;;ST 00296;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;
ST;SALUS-Service GmbH;Emil-Kraepelinstraße  6;39576 Stendal OT Uchtspringe;;ST 00293;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;
BB;Landwirtschaftsbetrieb Egon Kupka;Dorfstraße  25a;15827 Dahlewitz;;BB 72024;;;;;O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BB;Agrargesellschaft Baruther Urstromtal mbH & Co. KG - Bauernhofeis Agrargesellschaft Schöbendorf;Dämmchen  15;15837 Baruth/Mark;;BB 72032;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;
BY;Bernhard Gumbrecht;Sambach 5;96178 Pommersfelden;;BY 40382;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TH;Speisenversorgung & Kantine Wolfgang Thomas;Darnstedter Straße  23;99510 Eckolstädt;;TH 03511;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
BY;Monolith Fleisch- und Teigwarenfabrik GmbH;Liebigstraße 12;91126 Schwabach;BY-EV 519, BY-EV 519, BY-EV 519; ;;;;;;;;;;;;;L, A, C, B, O, P;B, P, A, C, O, L;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SN;Fleischerei und Wildspezialitäten Welzel ;Reichenbacher Weg  5;09337 Callenberg;;SN 10647;;;;;B, O, C;;;;;;wL, wU, wG, wA;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SN;CFP Packaging GmbH;Airterminalstraße  5;04509 Wiedemar;;SN 30652;;;;;;;;;;;;;;;;;;;;;;X;;X;;X;;;;;;;;;;;;;;;;;;
TH;Menü Express Gotha GmbH & Co. KG;Schlegelstraße  25b;99867 Gotha;;TH 03515;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
BB;Lagerwirtscgaft Simone Kuckei;Schulstraße   4;15910 Krausnick;;BB 61023;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Erwin Schieler;Rietbergweg 9;71735 Eberdingen;;BW 16213;;;;;;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Farmwildschlachtung Hügelsheim;Dieter-Rückle-Straße 1;76549 Hügelsheim;;BW 35028;;;;;;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;
BW;Metzgerei Conzelmann, Partyservice "essen und mehr";Gartenstraße 20;89171 Illerkirchberg;;BW 70048;;;;;B, O, P;B, O, P;;;fG;fG;wU;wU;;;;mp;;X;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;
TH;Partyservice Finke GmbH;Backhausgasse  88;99189 Haßleben;;TH 03520;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
SH;Fischzucht Reese;Papiermühle  4;24616 Sarlhusen;;SH 00448;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
NI;Stadt Göttingen - Produktionsküche GSG;Kurt-Huber-Weg 1-5;37079 Göttingen;;NI 10977;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;FleischCenter Vreden GmbH;Otto-Hahn-Straße 16;48691 Vreden;NW-EZ 557, NW-EZ 557, NW-EZ 557; ;;;;;;B, O, P;;;;;;;A, B, P;B, P, A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Landmetzgerei Koch;Hinterhainberg 20 B;94496 Ortenburg;;BY 20413;;;;;;B, O, P;;;;;;;;B, P, A;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Karl Wey jun. Heidehof;Im Baist 42;53902 Bad Münstereifel;;NW 70369;;;;;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Otti Sanden Wohnverbund Sanden Heim St.Michael;Prof.-Robert-Ellscheid-Weg 9;53894 Mechernich;;NW 70376;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;Gasthaus Zur alten Post;Horchheimer Straße 31;53881 Euskirchen;;NW 70377;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;ROBI GmbH, Mensa im Schulzentrum Sieglar;Edith-Stein-Straße 10;53844 Troisdorf;;NW 70370;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;
NW;BW - Bergische Wurstwaren GmbH;Kölner Straße 225;51515 Kürten;;NW 70366;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Peter Meis GmbH & Co. KG, Küche des Seniorenheimes Wiedenhof;Hähchen 26;51570 Windeck;;NW 70326;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;
NW;Axel Schneider;Olper Straße 56a;51702 Bergneustadt;;NW 70363;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
BY;AWAG - Aumüller Wildhandels AG, Niederlassung Bruck i.d. OPf;Bürgermeister-Hölzl-Straße 7;92436 Bruck i.d.OPf.;;BY 30590;;;;;;;;;;;wA, wL, wU, wG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Metzgerei Zunftmeister, Jan Rybovic;Bodanrückstraße 36;78315 Radolfzell;;BW 52045;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Städtischer Schlachthof Metzingen;Sannentalstraße 5;72555 Metzingen;;BW 07033;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;OBS Papenteich Schulmensa;Zum Dallmorgen 11;38179 Schwülper;;NI 10985;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;
BY;Bio + Cooking;Starnberger Straße 30;82069 Schäftlarn;;BY 10802;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
BY;Metzgerei Sieglinde Macht;Hadergasse 6;94249 Bodenmais;;BY 20234;;;;;;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Görge Gourmet Service UG & Co.  KG;Hansestraße 74;38112 Braunschweig;;NI 10979;;;;;;;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Damwildzucht Peter Jordan;Sellenfried 10;37124 Rosdorf;;NI 10983;;;;;;;;;fG;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Campus Management GmbH;Wichernstraße 34;21335 Lüneburg;;NI 10987;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Goßküche;;;;
NI;Grafschafter Frischei GmbH & Co. KG;Boschstraße 7;49835 Wietmarschen;;NI 15236;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;ÖZ EMEK Döner- und Fleischgroßhandels GmbH;Boschstraße 41579;71336 Waiblingen;;BW 01077;;;;;;B;;;;;;;;B, A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Jochen Maier, Fleisch-Wurstgroßhandel;Weißerlenstraße 14;79108 Freiburg;;BW 59002;;;;;;;;;;;;;S, B, O, P, C, A, L, fG, R, wU, wA, wG, wL;S, B, O, P, C, A, L, fG, R, wU, wA, wG, wL;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Hans Müller-Herkommer Gmbh, Metzgerei und Feinkost;Habsburgerstraße 65;79104 Freiburg;;BW 59004;;;;;;B, C, O, P;;;;;wU;wU;S, B, O, P, C, A, L, fG, R, wU, wA, wG, wL;S, B, O, P, C, A, L, fG, R, wU, wA, wG, wL;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Regio Service GmbH;Jechtinger Straße 8;79111 Freiburg;;BW 59010;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Sushi. Wrap GmbH;Osterbronnstraße 74;70565 Stuttgart;;BW 01079;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
TH;Eichsfelder Zentralschlachthof GmbH;Gaußring 1;37308 Heilbad Heiligenstadt;TH-ES 1316, TH-EZ 1316;TH 01316;;;X;X;B, C, O, P, S;S, B, C, O, P;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
NW;Helmut Kolzem GmbH & Co. KG;Sieglarer Straße 42;53842 Troisdorf;;NW 70401;;;;;;B, C, O, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Katholische Kirchengemeinde St. Kilian, Küche Altenheim Haus St. Kilian;Dechant-Meckel-Straße 7;58642 Iserlohn;;NW 10272;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;Fleischerei Cremer;Hauptstraße 101;59581 Warstein;;NW 10259;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Karl Heinz Lenninghaus Handel GmbH;Ernst-Stenner-Straße 23;58675 Hemer;;NW 10280;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lagerbetrieb für Sprühmagermilchpulver;;;;
NW;Fleisch- und Wurstwaren Niggemeier GmbH;Ostmauer 7;59590 Geseke;;NW 10269;;;;;;B, C, O, P;;;;;;;;B, C, O, P, S, L, A, fG, R, wA, wL, wU, wG;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;NOAH Servicegesellschaft;Am Bahnhof 1;59505 Bad Sassendorf;;NW 10289;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;X;;;;;;Catering/Großküche;;;;
NW;Fleischverarbeitung Franz und Georg Schulte GbR;Horst 20;58802 Balve;;NW 10275;;;;;;;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Hofmetzgerei Schultenhof;Stockumer Straße 109;44225 Dortmund;;NW 10187;;;;;;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Fleischhandel Friedrich Kleylein;Mansfelder Straße 46;59073 Hamm;;NW 10279;;;;;;B, O, P;;;;;;;B, O, P;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Küche des Caritas Seniorenheimes St. Elisabeth;Steinstraße 11;59872 Meschede;;NW 10239;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
RP;Frank's Partyservice;Hauptstraße  25;54518 Minderlittgen;;RP 23031;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
RP;Dietmar Haas;Hof Kleeberg 1;56627 Hachenburg;;RP 24061;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
ST;Nagel Inhouse Logistics Services GmbH;Kurt-Nagel-Allee  1;06184 Kabelsketal OT Großkugel;;ST 00911;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Madan Cash & Carry;Kurhessenstraße 1;64546 Mörfelden-Walldorf;;HE 10065;;;;;;;;;;;;;;;;mp;;;;;;;;;;B;;;;;;;;;;;;;;Catering/Großküche;;;;
