# Bundesland;Name des Betriebs ;Straße / Haus-Nr.;Ort;Alte Zulassungs-nummern;Neue Zulassungsnummer;Zulassungsnummer Eierpackstellen;CS;RW;WM;SH;CP;SH;CP;SH;CP;GHE;CP;MM;MP;MSM;PP;CC;PP;CC;PP;CC;PP;CC;PP;CC;PP;EPC;LEP;PP;AH;FV;ZV;FFPP;PP;WM;PC;DC;PP;Einschränkungen;Bemerkungen;Zulassung befristet bis;Zulassung ruht seit;Drittlandzulassungen;
HE;Klause-Hof, A & A Winter GbR, Gesellschafter: Andreas und Arno Winter;Fischborner Straße 18;63633 Birstein;;HE 10302;;;;;B, P;B, P;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Kraftverkehr Nagel GmbH & Co. KG, Niederlassung Kaufungen;Schwarze Breite 16;34260 Kaufungen;;HE 30006;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Hotel, Metzgerei und Gaststätte Schneider;Oberstadt 25;35423 Lich;;HE 20273;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Güven;Dietzhölzstraße 1;35713 Eschenburg;;HE 20283;;;;;B, O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Kristina Heist;Schleiersbacher Straße 6;64407 Fränkisch-Crumbach;;HE 10376;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Landesbetrieb Michael Schwarz;Hofheimer Straße 72;68623 Lampertheim;;HE 10314;;;;;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Landfleischerei Erhard Klitsch;k.a. 0;34599 Neuental;;HE 30173;;;;;P;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Landfleischerei Henry Koch;k.a. 0;34379 Calden;;HE 30126;;;;;S, B, O, P, C;S, B, O, P, C;;;;;;;S, B, O, P, C;S, B, O, P, C;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Landfleischerei Kesting, Inhaber Ralf Kesting;k.a. 0;34477 Twistetal;;HE 30111;;;;;O, P;B, O, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Landfleischerei Sabine Opfer;Leipziger Straße 18;37296 Ringgau;;HE 30373;;;;;;B, P;;;;;;;B;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Landfleischerei Töpfer, Inhaber Rafael Töpfer e. K.;Homberger Straße 46;34576 Homberg (Efze);;HE 30313;;;;;B, C, O, P;;L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Landgasthof Hotel Hess K. Hess GmbH;Geistalstraße 8;36286 Neuenstein;;HE 30202;;;;;B, O, P;B, O, P;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Landhof Heyner;Ringstraße 2;34281 Gudensberg;;HE 30350;;;;;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
