Script,OFF Taxonomy,FR,EU,url,Date
Yes,IV - Traitement gibier sauvage,Découpe du gibiers sauvage,Wild game cutting plant,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles//SSA6B_AGSANDCPGIBSVG_PRV.txt,10/10/15
Yes,IX - Collecte Lait,Centres de collecte de lait,Milk collection center,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGSANLPL_PRV3.pdf,10/10/15
Yes,IX - Collecte Lait,Centres de collecte de lait,Milk collection center,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGSANLPL_PRV3.txt,10/10/15
Yes,IX - Transformation Lait,Liste des établissements disposant d'une dérogation à l'agrément communautaire Lait traité thermiquement et produits laitiers,Exempted establishments from EU approval agreement-Raw milk and dairy products processing plant,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA5_DERAGRLTT_VAL2.pdf,10/10/15
Yes,IX - Transformation Lait,Liste des établissements disposant d'une dérogation à l'agrément communautaire Lait traité thermiquement et produits laitiers,Exempted establishments from EU approval agreement-Raw milk and dairy products processing plant,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA5_DERAGRLTT_VAL2.txt,10/10/15
Yes,IX - Transformation Lait,Production de lait et de produits laitiers,Raw milk and dairy products processing plant,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGSANLPL_PRV2.pdf,10/10/15
Yes,IX - Transformation Lait,Production de lait et de produits laitiers,Raw milk and dairy products processing plant,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGSANLPL_PRV2.txt,10/10/15
No,Négoce Boucherie,Liste des établissements de négoce autorisés à détenir sans procéder à leur désossage des viandes de bovins (>30 mois) contenant de l'os vertébral,,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA5_DETVDEBOVOS_VAL.pdf,10/10/15
No,Others,Etablissements pour les volailles,List of establishments for poultry,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA1_AGECHELEVOL.pdf,10/10/15
No,Others,Etablissements pour les volailles,List of establishments for poultry,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA1_AGECHELEVOL.txt,10/10/15
