Resultat der Anfrage

Treffer: 3570
Sektion 0 285 Treffer

Bew.Nr.;BURNR;Name;Strasse;PLZ;Ort/Kanton;Kategorie;weitere Aktivitäten;Spezies;Bem.;
5784;75628900;Molkerei Sevelen;Bahnhofstrasse 65;9475;Sevelen SG;PP;;B;;
5820;82618846;Agroval SA Caseificio;Airolo-Valle ;6780;Airolo TI;PP, CC;;B;;
5823;76750035;Prodotti caseari di Vizzardi Aurelio;Via San Provino  7E;6826;Riva San Vitale TI;PP;;B;;
5824;62089313;Caseificio artigianale Emilio & Leila Bossi; ;6775;Ambri TI;PP;;B, C;;
5826;76886641;Caseificio dimostrativo del Gottardo SA; ;6780;Airolo TI;PP; RW (0),  WM (0);B, C, O;;
5892;43323959;Stiftung Kartause Ittingen Gutsverwaltung Landw. Betrieb;Kartause ;8532;Warth TG;PP;;B;;
5893;75836995;Molkerei Biedermann AG ;Schützengütlistrasse 2;9220;Bischofszell TG;PP; CS (0),  RW (0),  WM (0);B, O;;
5894;65481710;SPRENGER FINE FOOD;Birnstielstrasse 5;9225;Wilen (Gottshaus) TG;PP;;;;
5895;40946924;Strähl Käse AG  Käserei;Bahnhofstrasse 2;8573;Siegershausen TG;PP; CS (0),  RW (0),  WM (0);B;;
5898;50172869;Strähl Käse AG  Schmelzkäsewerk;Industriestrasse 10;8575;Bürglen TG TG;PP; CS (0),  RW (0),  WM (0);B;;
5970;40805061;Fromagerie André SA;Route de Cossonay 7;1122;Romanel-sur-Morges VD;PP, CC;;B;;
5972;46250671;Markus Tschopp Laiterie-fromagerie; ;1343;Les Charbonnières VD;PP, CC;;B;;
5973;72224819;Fromagerie des Moulins Cremo SA; ;1660;Les Moulins VD;PP;;B;;
5974;53950773;Prario SA Produits Carnes;Praz-Riond 7;1303;Penthaz VD;PP; RW (0),  WM (0);B;;
5975;78036032;Fromagerie MM Bory SA;Le Jordil ;1304;Dizy VD;PP, CC; RW (0),  WM (0);B;;
5976;53118771;Rest. Café de Paris;Rue du Mont-Blanc 26;1201;Genève GE;PP;;B;;
5978;70216333;Kleinmolkerei Tino Planzer;Feldgasse 8;6463;Bürglen UR UR;CC;;B;;
5983;75970841;Küssnachter Dorfkäserei GmbH;Grepperstrasse 57;6403;Küssnacht am Rigi SZ;PP, CC;;B;;
5986;76691427;Burger Käse AG Ennetmoos;Windleten 7;6372;Ennetmoos NW;PP;;B;;
5987;45939887;Odermatt Käserei AG;Oberau ;6383;Dallenwil NW;PP, CC;;B, C;;
5989;75841356;Seiler Käserei AG;Bitzighoferstrasse 11;6060;Sarnen OW;PP;;B, C, O;;
5991;40879702;Molkerei-Käserei Schnider AG;Chilchweg ;6074;Giswil OW;PP;;B;;
5992;68606298;Bergkäserei Aschwanden;Zingelstrasse 3;6377;Seelisberg UR;PP, CC;;B;;
5994;40218732;Barmettler Molkerei AG Molkerei;Schmiedgasse 9;6370;Stans NW;PP, CC;;B, C, O;;
5995;65211970;Neue Napfmilch AG ;Opfersei ;6133;Hergiswil b. Willisau LU;PP;;B;;
5996;66023255;Fromagerie Fleurette SARL;Le Praz ;1659;Rougemont VD;PP, CC; RW (0);B;;
6003;70754796;Alp Site+Hauli Käserei; ;3770;Zweisimmen BE;PP;;B, C, O;;
6004;70728623;Sulsalp Käserei; ;3822;Lauterbrunnen BE;PP;;B, C, O;;
6007;70728445;Untere Walalp Käserei;Nidfluh ;3763;Därstetten BE;PP;;B, C, O;;
6009;70728340;Alp Lammweid-Horn Käserei; ;3706;Leissigen BE;PP;;B, C, O;;
6010;70215717;Barwengenkassel Martin Herrmann; ;3792;Saanen BE;PP;;B, C, O;;
6012;70728576;Alp Drüschhubel Käserei;Drüschhubel & Fall ;3619;Innereriz BE;PP;;B, C, O;;
6014;70728450;Eggenalp Käserei; ;3770;Zweisimmen BE;PP;;B, C, O;;
6015;70751821;Heinrich von Grünigen La Forclaz Fromagerie;Alpage ;1659;Rougemont VD;PP;;B;;
6016;70728466;Alp Obersuld Käserei; ;3703;Aeschi b. Spiez BE;PP;;B, C, O;;
6018;70728403;Alp Suld Latreyen Käserei; ;3703;Aeschi b. Spiez BE;PP;;B, C, O;;
6019;70802177;Niklaus Burri Mittler-Schneit Käserei; ;3778;Schönried BE;PP;;B, C, O;;
6020;70728398;Alp-Hahnenmoos Käserei; ;3715;Adelboden BE;PP;;B, C, O;;
6021;70724697;Elsigenalp Käserei;Elsigenalp/Senggi ;3714;Frutigen BE;PP;;B, C, O;;
6022;70802879;Alfred & Jakob & Michael Käserei Gfellalp; ;3783;Grund b. Gstaad BE;PP;;B, C, O;;
6023;70755234;Alp Geisshalten; ;3537;Eggiwil BE;PP;;B, C, O;;
60235896;75332685;Société de laiterie de Château d'Oex; ;1660;Château-d'Oex VD;CC;;B;;
6025;70721324;Kiley-Alpkäserei; ;3757;Schwenden im Diemtigtal BE;PP;;B, C, O;;
6026;70750901;La Gête Fromagerie;Alpage ;1660;Château-d'Oex VD;PP;;B;;
6027;70746601;Receviau Fromagerie;Alpage ;1660;Château-d'Oex VD;PP;;B;;
6029;70751198;L'Ortier Fromagerie;Alpage ;1844;Villeneuve VD VD;PP;;B;;
6030;70750629;Le Soere Fromagerie;Alpage ;1660;Château-d'Oex VD;PP;;B;;
6031;70747474;Praz-Cornet Fromagerie;Alpage ;1660;Château-d'Oex VD;PP;;B;;
6032;70216705;Nérvaux Fromagerie;Alpage ;1856;Corbeyrier VD;PP;;B;;
6033;70749361;Lioson d'Enbas Fromagerie;Alpage ;1862;Les Mosses VD;PP;;B;;
6034;70750744;Grand Cle Fromagerie;Alpage ;1660;Château-d'Oex VD;PP;;B;;
6035;70747736;Rodomont-Devant Fromagerie;Alpage ;1659;Rougemont VD;PP;;B;;
6036;70751266;Les Combarins Fromagerie;Alpage ;1658;Rossinière VD;PP;;B;;
6037;70216417;Les Vuichaudes; ;1660;Château-d'Oex VD;PP;;B;;
6039;70747097;Les Coullaytes Fromagerie;Alpage ;1660;Château-d'Oex VD;PP;;B;;
6040;70747647;La Verdaz Fromagerie;Alpage ;1659;Rougemont VD;PP;;B;;
6041;70750152;La Dent Fromagerie;Alpage ;1660;Château-d'Oex VD;PP;;B;;
6042;70746837;Pâquier-Gétaz Fromagerie;Alpage ;1660;Château-d'Oex VD;PP;;B;;
6043;70750367;Le Plaudry Fromagerie;Alpage ;1660;Château-d'Oex VD;PP;;B;;
6045;70767596;Les Vuipays Fromagerie; ;1618;Châtel-St-Denis FR;PP;;B;;
6046;70769661;Marcel & Roland Progin Alpage du Gros Plané; ;1663;Gruyères FR;PP;;B;;
6047;70766440;Parc-es-Fayes Fromagerie; ;1654;Cerniat FR FR;PP;;B;;
6048;70215806;Les Fornis Rudolf Bielmann Alpage ''Les Fornys''; ;1634;La Roche FR FR;PP;;B;;
6049;70766592;Les Grenérêts Fromagerie; ;1654;Cerniat FR FR;PP;;B;;
6050;70766901;Vacheresse Fromagerie; ;1665;Estavannens FR;PP;;B;;
6051;70767512;La Vathiaz Fromagerie; ;1637;Charmey (Gruyère) FR;PP;;B;;
6054;70766739;Vounetz Fromagerie; ;1637;Charmey (Gruyère) FR;PP;;B;;
6055;70215811;Laurent Gachet - Alpage ''Les Audèches'';Route Derrière La Roche 118;1637;Charmey (Gruyère) FR;PP;;B, C;;
6056;70766236;La Provête - Tzermon Fromagerie; ;1663;Gruyères FR;PP;;B;;
6057;70766938;Le Lithy Fromagerie;Lessoc ;1669;Albeuve FR;PP;;B;;
6058;82021316;En Culand Fromagerie;Alpage ;1658;Rossinière VD;PP;;B;;
6059;70763717;Les Reybes Fromagerie;Moléson-Village ;1663;Moléson-sur-Gruyères FR;PP;;B;;
6060;70769682;Michel Remy Chalet Les Groins-du-Milieu; ;1663;Gruyères FR;PP;;B;;
6061;70767308;Brenleires Fromagerie; ;1637;Charmey (Gruyère) FR;PP;;B;;
6062;70763628;La Théraulaz d'En-bas Fromagerie; ;1669;Albeuve FR;PP;;B;;
6063;70766503;Les Groins d'En-Haut Fromagerie; ;1663;Gruyères FR;PP;;B;;
6064;70769216;Le Jeu de Quilles Fromagerie;Gros Mont ;1637;Charmey (Gruyère) FR;PP;;B;;
6066;70215827;Tissenevaz Jacques Ruffieux Alpage ''Tissinivaz''; ;1637;Charmey (Gruyère) FR;PP;;B;;
60665690;60665690;Milchgenossenschaft Churwalden-Parpan;Hauptstrasse 74;7075;Churwalden GR;CC;;C;;
6067;70215832;Le Creux Christian Bourquenod;Alpage ''Le Creux'' ;1669;Neirivue FR;PP;;B;;
60673906;60673906;Milchsammelstelle Mirchel;Dorfstrasse 11;3532;Mirchel BE;CC;;B;;
6070;61136548;François Kolly Alpage La Chaux-Dessous Fromagerie de Démonstration;Moléson-Village ;1663;Moléson-sur-Gruyères FR;PP;;B;;
6072;70763408;Alp Mittlerer Chüeboden Käserei;Mittlerer Chüeboden ;1656;Jaun FR;PP;;B, C;;
6073;70802858;Jakob & Hans Schenk Käserei Rämisgummen; ;3537;Eggiwil BE;PP;;B, C, O;;
60738804;60738804;Milchsammelstelle Ifang;Ifang  2451;9100;Herisau AR;CC;;B;;
60738888;60738888;Milchsammelstelle Schmidberg;Schmidbergstrasse ;9631;Ulisbach SG;CC;;B;;
6074;70767140;Chenau Fromagerie; ;1669;Montbovon FR;PP;;B;;
6075;77282880;Alp Rinderalp 1406; ;3762;Erlenbach im Simmental BE;PP;;B, C, O;;
6076;70728602;Alp Morgeen-Mittlist Käserei; ;3765;Oberwil im Simmental BE;PP;;B, C, O;;
6078;72276602;Alpage Les-Gros-Fonts et Peternetz, Association Caille - Borcard;Les-Gros-Fonts 9;1666;Grandvillard FR;PP;;B;;
6079;70767418;Les Invouettes Fromagerie; ;1637;Charmey (Gruyère) FR;PP;;B;;
6080;70767250;Varvalanna Fromagerie; ;1665;Estavannens FR;PP;;B;;
6081;70879578;Le Grin Fromagerie, Alpage; ;1660;Château-d'Oex VD;PP;;B;;
6082;76415945;Alpkäserei Jaunpass Käserei; ;3766;Boltigen BE;PP;;B, C, O;;
6087;70751308;Belles-Combes Fromagerie;Alpage ;1659;Rougemont VD;PP;;B;;
6088;70763502;Alpkäserei & Sömmerungsgemeinschaft La Balisa Fromagerie;La Balisaz ;1716;Schwarzsee FR;PP;;B, C;;
6095;70694016;Erbs-Stegersenten;Alp Erbs ;8767;Elm GL;PP;;B;;
60953409;60953409;Sylvain & Co SA;Chemin des Serres 4;1443;Essert-sous-Champvent VD;PP;;B;;
60966722;60966722;Société de laiterie de Rovray; ;1463;Rovray VD;CC;;B;;
6097;77671909;Braunwaldalp Alp Unterstafel; ;8784;Braunwald GL;PP;;B;;
60977902;60977902;Amden Milchzentrale;Dorfstr. 35;8873;Amden SG;CC;;B;;
61020912;76465752;Milchsammelstelle Rachholtern;Rachholtern ;3617;Fahrni b. Thun BE;CC;;B;;
61028969;61028969;Société de laiterie de Bercher;Ch. Du Clos Brelion 10;1038;Bercher VD;CC;;B;;
6104;70216244;Alp Tannenboden Josef Gadient;Ackern ;8896;Flumserberg Bergheim SG;PP;;B;;
6106;70735971;Churer Alp, Sennerei Maran;Gutsbetrieb Plankis ;7000;Chur GR;PP;;B, C, O;;
6107;71536008;Alpkäserei Cholschlag;  ;8887;Mels SG;PP;;B;;
61139030;61139030;Milchsammelstelle Gsteigwiler; ;3814;Gsteigwiler BE;CC;;B;;
61139245;77989960;Latteria Sociale di Semione; ;6714;Semione TI;CC;;B;;
61148370;61148370;Centre collecteur de Le Jordil;Route du Jordil  22A;1609;St-Martin FR;CC;;B;;
61148894;76466798;Milchgenossenschaft Peist; ;7029;Peist GR;CC;;B;;
61149222;76466892;Société de laiterie de Flendruz; ;1659;Flendruz VD;CC;;B;;
61151902;61151902;Société de laiterie de La Comballaz, Les Mosses, Les Voëttes; ;1862;Les Mosses VD;CC;;B;;
61154369;61154369;Centre collecteur de Cheiry;Rte du Centre 10;1529;Cheiry FR;CC;;B;;
61155247;61155247;Société de laiterie d'Yverdon; ;1404;Cuarny VD;CC;;B;;
61157988;61157988;Société des producteurs de lait et de céréales de Vugelles; ;1431;Vugelles-La Mothe VD;CC;;B;;
6116;70852623;Alpage de Verschamps; ;1660;Château-d'Oex VD;PP;;B;;
61160095;61160095;Milchsammelstelle Aeschi;Scheidgasse 8;3703;Aeschi b. Spiez BE;CC;;B;;
61162548;61162548;Latteria Sociale di Leontica; ;6716;Leontica TI;CC;;B;;
61168466;76646513;Société de Laiterie de La Tine; ;1658;Rossinière VD;CC;;B;;
61169391;77039634;Latteria sociale di Olivone; ;6718;Olivone TI;CC;;B;;
61169585;76473690;Latteria-Caseificio Sociale Di Cavagnago; ;6749;Cavagnago TI;CC;;B;;
6117;70852555;Alpage Lévanchy; ;1660;Château-d'Oex VD;PP;;B;;
61172169;75349825;Société de laiterie du Rosex; ;1864;Vers-l'Eglise VD;CC;;B;;
6118;70852581;Alpage Pâquier-Turrian; ;1660;Château-d'Oex VD;PP;;B;;
6118;70694278;Alp Heuboden  Käserei; ;8755;Ennenda GL;PP;;B;;
61183092;75353360;Milchsammelstelle Schiffmatt-Ochsenweid;Tanne ;3512;Walkringen BE;CC;;B;;
61183134;76647035;Société de laiterie du Mont-Pèlerin;co Charles Volet Plan de Paully;1801;Le Mont-Pèlerin VD;CC;;B;;
61185718;61185718;Société de Laiterie de Villars Chesières & Arveyes;Av. Centrale ;1884;Villars-sur-Ollon VD;CC;;B;;
61186088;61186088;Centre collecteur de Montbrelloz;Route des Grands-Champs  1;1475;Montbrelloz FR;CC;;B;;
61189120;75355436;Société de Laiterie de Villarvolard; ;1651;Villarvolard FR;CC;;B;;
61189691;61189691;Société de laiterie de Constantine; ;1587;Constantine VD;CC;;B;;
6119;60210666;Franz-Anton Kennel;Unteregg ;6415;Arth SZ;PP;;B, C, O;;
61192317;75356838;Société de laiterie et d'agriculture de Saubraz; ;1189;Saubraz VD;CC;;B;;
61192364;75356885;Société de laiterie de La Claie aux Moines;co Philippe Diserens Ch. Du Casard 3;1073;Savigny VD;CC;;B;;
61192469;75356969;Société de laiterie de Mollie-Margot;Route des Quatre Croisées 1;1073;Mollie-Margot VD;CC;;B;;
61192521;75357009;Société de laiterie de Savigny Village;Ch. du Casard  3;1073;Savigny VD;CC;;B;;
61192537;75357014;Société de fromagerie de Saint-Livres; ;1176;St-Livres VD;CC;;B;;
61192956;76474359;Société de fromagerie et laiterie;Place de la Laiterie ;1261;Le Vaud VD;CC;;B;;
61193588;76474516;Société de laiterie de Villars le Grand;Au Village ;1584;Villars-le-Grand VD;CC;;B;;
61194466;76474694;Société de laiterie de Pailly, local de coulage; ;1416;Pailly VD;CC;;B;;
61195040;76474851;Société de laiterie d'Ollon, local de coulage;Route de Villars ;1867;Ollon VD VD;CC;;B;;
61195103;76474872;Société de laiterie de Prahins;co Jean-Luc Bovay ;1408;Prahins VD;CC;;B;;
61195276;61195276;Société de laiterie de Planches du Mont; ;1052;Le Mont-sur-Lausanne VD;CC;;B;;
61195318;61195318;Société de fromagerie et du battoir à grains; ;1354;Montcherand VD;CC;;B;;
61196128;76475326;Société de laiterie de Gryon; ;1882;Gryon VD;CC;;B;;
61196149;76475331;Société de laiterie de Cremin; ;1526;Cremin VD;CC;;B;;
61196332;61196332;Société de laiterie de Donatyre; ;1582;Donatyre VD;CC;;B;;
61196699;76475567;Laiterie du Pigeon;co J. Pauly Chaufferosse;1072;Forel (Lavaux) VD;CC;;B;;
61196767;76072169;Société de laiterie de Froideville;co Albert Blaser Ch. Du Maupas 7;1055;Froideville VD;CC;;B;;
61196856;78035039;Société coopérative de laiterie et d'agriculture de Bursins-Vinzel; ;1183;Bursins VD;CC;;B;;
61197268;61197268;Société de laiterie de Cotterd; ;1585;Bellerive VD VD;CC;;B;;
6122;70607474;Alp Wasserberg, Käserei; ;6436;Muotathal SZ;PP;;B;;
61222736;76479205;Société communale de laiterie de Villarlod; ;1695;Villarlod FR;CC;;B;;
61223441;61223441;Centre collecteur de Progens;Grand-Rue 64;1624;Progens FR;CC;;B;;
61224026;61224026;Centre collecteur de Prévondavaux;Au Village 42;1410;Prévondavaux FR;CC;;B;;
61227949;61227949;Société de laiterie de Massonnens;Au Village 67;1692;Massonnens FR;CC;;B;;
61230522;76649336;Société de laiterie d'Enney; ;1667;Enney FR;CC;;B;;
61231070;61231070;Société de Laiterie de Cerniat; ;1654;Cerniat FR;CC;;B;;
61231510;61231510;Centre collecteur d'Autavaux;Chemin des Ecoliers 15;1475;Autavaux FR;CC;;B;;
61237161;61237161;Milchsammelstelle Nyffel;Nyffel 209;4950;Huttwil BE;CC;;B;;
6133;70694833;Alp Enzianen-Rauti Käserei;Oberseetal ;8752;Näfels GL;PP;;B;;
6140;70743946;La Moësettaz Fromagerie;Alpage ;1348;Le Brassus VD;PP;;B;;
6141;70216438;Grand - Ayerne Fromagerie;Alpage ;1844;Villeneuve VD VD;PP;;B;;
6142;70749754;Chaude Fromagerie;Alpage ;1844;Villeneuve VD VD;PP;;B;;
6144;70216459;Rodovanel Fromagerie;Alpage ;1660;Château-d'Oex VD;PP;;B;;
6145;70747720;Comborsin Fromagerie;Alpage ;1659;Rougemont VD;PP;;B;;
6146;60407935;La Clusaz Fromagerie;Alpage ;1660;Château-d'Oex VD;PP;;B;;
6147;70746444;Gros-Jable Fromagerie;Alpage ;1660;Château-d'Oex VD;PP;;B;;
6148;70747275;Les Neusilles Fromagerie;Alpage ;1660;La Lécherette VD;PP;;B;;
6149;70216464;La Burtignière Fromagerie;Alpage ;1348;Le Brassus VD;PP;;B;;
6150;70216485;La Bassine Fromagerie;Alpage ;1269;Bassins VD;PP;;B;;
6151;70747830;Combe Noire Fromagerie;Alpage ;1345;Le Lieu VD;PP;;B;;
6152;70751025;Le Grand Boutavent Fromagerie;Alpage ;1148;Mont-la-Ville VD;PP;;B;;
6153;70747610;Plan Dischiors Fromagerie;Alpage ;1659;Rougemont VD;PP;;B, O;;
6154;70750959;Paray-Dorenaz Fromagerie;Alpage ;1660;Château-d'Oex VD;PP;;B;;
6155;70743438;La Grandsonnaz Fromagerie;Alpage ;1420;Fiez VD;PP;;B;;
61550232;61550232;Milchzentrale;Hintere Gasse 6;4436;Oberdorf BL BL;CC;;B;;
6156;70751334;Le Bucley Fromagerie;Les Tâches ;1344;L'Abbaye VD;PP;;B;;
6157;70750241;La Poyettaz Fromagerie;Alpage ;1355;L'Abergement VD;PP;;B;;
6159;70747778;Commune de Bise Fromagerie;Alpage ;1348;Le Brassus VD;PP;;B;;
6160;70216490;Le Cerney Fromagerie;Alpage ;1348;Le Brassus VD;PP;;B;;
6161;70745990;Pré-de-Bière Fromagerie;Alpage ;1348;Le Brassus VD;PP;;B;;
6162;70746051;La Meylande Fromagerie;Alpage ;1348;Le Brassus VD;PP;;B;;
6163;70749838;Les Amburnex Fromagerie;Alpage ;1348;Le Brassus VD;PP;;B;;
6164;70743527;Alpage La Bursine Fromagerie; ;1348;Le Brassus VD;PP;;B;;
61644367;61644367;Hirschi Milchsammelstelle; ;3413;Kaltacker BE;CC;;B;;
6165;70216506;Les Esserts du Lieu Fromagerie;Alpage ;1345;Le Lieu VD;PP;;B;;
61658155;61658155;Milchsammelstelle Walterswil;Dorf 76 B;4942;Walterswil BE;CC;;B;;
6166;70749906;Dorénaz Fromagerie;Alpage ;1660;Château-d'Oex VD;PP;;B;;
6167;70751727;Colond d'Ajoeur Fromagerie;Alpage ;1660;Château-d'Oex VD;PP;;B;;
6169;70216511;La Baronne Fromagerie;Alpage ;1264;St-Cergue VD;PP;;B;;
6170;70750435;Fruitières de Nyon Fromagerie;Alpage ;1264;St-Cergue VD;PP;;B;;
61713099;61713099;Milchsammelstelle Bürglen;Bürglenstrasse ;6078;Bürglen OW OW;CC;;B, C, O, S;;
6172;80346456;Les Plats de Bise Fromagerie;Alpage ;1348;Le Brassus VD;PP;;B;;
61723144;61723144;François Rouiller;Laiterie du Centre Rue du Temple 13;1530;Payerne VD;CC;;B;;
6173;70747804;Plats du Vent Fromagerie;Alpage ;1348;Le Brassus VD;PP;;B;;
6174;70747799;Praz Rodez Fromagerie;Alpage ;1348;Le Brassus VD;PP;;B;;
61750038;61750038;Sennerei Morissen; ;7143;Morissen GR;CC;;B;;
61769547;61769547;Laiterie de Somlaproz Fromagerie; ;1937;Orsières VS;PP;;B;;
6177;70747411;Fenil aux Vaux Fromagerie;Alpage ;1660;Château-d'Oex VD;PP;;B;;
61770097;61770097;Laiterie Nouvelle; ;1937;Orsières VS;PP;;B;;
6178;70747495;Les Gros Crêts Fromagerie;Alpage ;1658;Rossinière VD;PP;;B;;
6179;70216532;Ratevel Fromagerie;Alpage ;1658;Rossinière VD;PP;;B;;
6180;70746507;La Molaire Fromagerie;Alpage ;1660;Château-d'Oex VD;PP;;B;;
6181;70749953;Tompey Fromagerie;Alpage ;1856;Corbeyrier VD;PP;;B;;
6182;70749293;Plaine-Joux Fromagerie;Alpage ;1862;La Comballaz VD;PP;;B;;
61824627;61824627;Milchsammelstelle Räberhof;Räberhof ;6153;Ufhusen LU;CC;;B;;
6183;70749712;Pâquier Mottier Fromagerie;Alpage ;1660;Château-d'Oex VD;PP;;B;;
6184;70750922;Bazine Fromagerie;Alpage ;1660;Château-d'Oex VD;PP;;B;;
6187;70767470;Plan Rion Fromagerie; ;1666;Grandvillard FR;PP;;B;;
6189;70763565;Alpage Les Mortheys Fromagerie;Les Mortheys ;1637;Charmey (Gruyère) FR;PP;;B;;
6191;67126679;Anselm Töngi Alpkäserei Gerschnialp;Alpenstrasse 5;6390;Engelberg OW;PP;;B, C, O;;
6192;46482809;Alpkäserei Bleiki Paul Barmettler;Bleiki ;6383;Niederrickenbach NW;PP, CC;;B, C, O;;
6194;70751093;Sur le Grin Fromagerie;Alpage ;1660;Château-d'Oex VD;PP;;B;;
6196;70607280;Alpkäserei Frutt-Niederbauen;Frutt-Niederbauen ;6376;Emmetten NW;PP;;B;;
6197;75012032;Werner von Rotz, Bergkäserei Stöckalp GmbH;Weidli 14;6067;Melchtal OW;PP;;B, C, O;;
6198;70606774;Alpkäserei Tannalp Bucher Arnold;Tannalp ;6068;Melchsee-Frutt OW;PP;;B;;
61988958;61988958;Sammelstelle Walkenmatte;Walkenmatte ;3755;Horboden BE;CC;;B;;
6199;70751837;La Gisienne Fromagerie;Alpage ;1659;Rougemont VD;PP;;B;;
6200;70852534;Alpage Les Châterlards; ;1658;Rossinière VD;PP;;B;;
6201;66608575;Alpwirtschaft Fluonalp;Kilchweg ;6074;Giswil OW;PP;;B, C, O;;
6202;70750681;Les Brenlaires Fromagerie;Alpage ;1660;L'Etivaz VD;PP;;B;;
6203;70607558;Genossame Schwyz Alp Unterer Altberg; ;6430;Schwyz SZ;PP, CC;;B;;
6204;70852618;Alpage La Rite; ;1660;L'Etivaz VD;PP;;B;;
6205;75006217;Alpkäserei Chüneren, Andreas Gut-Witzig, Wiesenberg;Wiesenberg ;6383;Wiesenberg NW;PP, CC;;B;;
6206;64332044;Käserei Stanglisbühl, Annelise Niederberger;Stanglisbühl ;6383;Wiesenberg NW;PP;;B;;
62062971;62062971;PELLAUD-BOURBAN Sàrl;Les Ries ;1997;Haute-Nendaz VS;PP;;B, C, O;;
6207;70728424;Alex Oppliger-Joliquin Métaillerie de Pierre Feu;Pierre Feu ;2608;Courtelary BE;PP;;B, C, O;;
6208;70216155;Engelauenen Peter Portmann Alpkäserei; ;6166;Hasle LU LU;PP;;B;;
6209;55418561;Bühler Marcel Fromagerie de la Métairie du Bois-Raiguel; ;2607;Cortébert BE;PP;;B, C, O;;
6211;70606816;Alpkäserei Untertrübsee;Untertrübsee ;6390;Engelberg OW;PP;;B, C, O;;
6213;70802863;Daniel Bühler-Oppliger Fromagerie La Petite Douane; ;2608;Courtelary BE;PP;;B, C, O;;
6214;70763633;Alpage d'Orgevaux Fromagerie;Orgevaud ;1669;Montbovon FR;PP;;B;;
6215;70216160;Alp Schlacht Niklaus Epp Alpkäserei; ;6174;Sörenberg LU;PP;;B, C;;
62150528;75648692;Latteria sociale di Aquila;Aquila ;6719;Aquila TI;CC;;B;;
6218;70750021;Les Chargiaux Fromagerie;Alpage ;1660;Château-d'Oex VD;PP;;B;;
6219;70747364;L'Haut Pateri Fromagerie;Alpage ;1660;Château-d'Oex VD;PP;;B;;
6229;75081764;Arnischwand Urs Müller Alpkäserei; ;6074;Giswil OW;PP;;B, C, O;;
6230;74986981;Alpkäserei Sittlisalp Toni Horat;Sittlisalp ;6465;Unterschächen UR;PP, CC;;B;;
6231;70216176;Alp Tritt Kaspar Leiser Alpkäser; ;6376;Emmetten NW;PP, CC;;B, C, O;;
6233;70216349;Milchverwertungsgenossenschaft Surenen-Ebnet; ;6468;Attinghausen UR;PP, CC;;B;;
6234;70606732;Alpkäserei Galtenebnet Hüttenberg, Bisisthal; ;6463;Bürglen UR UR;PP, CC;;B;;
6237;114793;Eberle Karl;Alpe Sücka ;9497;Triesenberg FL;PP;;B;;
6238;428870;Schurti Leopold;Alpe Valüna ;9495;Triesen FL;PP;;B;;
6239;112615;Alpe Pradamee;Postfach 180;9490;Vaduz FL;PP;;B;;
62446570;62446570;Samuel Berclaz;Le Pafouer 48;3975;Randogne VS;PP;;B;;
6247;70738375;Alp Stürfis  Bündner Alpkäse;Rathaus ;7304;Maienfeld GR;PP;;B, C, O;;
62476617;62476617;Milchsammelstelle Reisiswil;Echo 41D;4919;Reisiswil BE;CC;;B;;
6248;70736006;Alpkäserei Calfeisen (Malanser Alp); ;9479;Vättis SG SG;PP;;B;;
6250;70216003;Alp Gut Bächi  Käserei; ;8783;Linthal GL;PP;;B;;
62526058;62526058;Gabriel Gex-Fabry de Gabriel;Champeys ;1873;Champoussin VS;PP;;B, C;;
62786292;62786292;Agroval SA, Dipartimento yoghurtificio;via Stazione ;6780;Airolo TI;PP;;B;;
6297;77352836;Alpkäserei Höhi Voralp;c/o Andreas Vetsch, Loch ;9472;Grabserberg SG;PP;;B;;
6298;70216270;Alp Chrüzegg Robert Manser;Steintal ;9607;Mosnang SG;PP;;B;;
6299;70216286;Alp Kienberg Thomas Wüst;Staatsstrasse 25;9463;Oberriet SG SG;PP;;B;;
6301;64397078;Alpmilchverwertung Schwägalp; ;9107;Urnäsch AR;PP;;B, C;;
6303;71530142;Alpkäserei Malschüel;Simmi 910;9473;Gams SG;PP;;C;;
6304;42569506;Alpkäserei Schanerberg;c/o Markus Gabathuler, Winkelstrasse 20;9479;Oberschan SG;PP;;B;;
6305;70216679;Alp Tesel Hanspeter Schöb Tüüfi; ;9658;Wildhaus SG;PP;;B;;
6307;66086171;Alpkäserei Siez; ;8887;Mels SG;PP;;B, C;;
63075961;63075961;Milchsammelstelle Arch;Oberdorfstrasse 17;3296;Arch BE;CC;;B;;
63122401;63122401;Heiniger-Wirz Adrian & Elisabeth;Krummeney 1129;3855;Brienz BE BE;PP;;B, C, O;;
63303466;63303466;Centrale Laitière du Val D'Anniviers; ;3961;Vissoie VS;PP;;B;;
63339127;63339127;Laiterie Centrale Fromagerie régional St-Martin Mase & Nax; ;1969;St-Martin VS VS;PP;;B;;
63348797;63348797;Local de coulage; ;1891;Vérossaz VS;CC;;B;;
63353933;63353933;Société de Laiterie de Liddes; ;1945;Liddes VS;PP;;B;;
63363292;63363292;Milchsammelstelle Oppligen;Dorfstrasse 3;3629;Oppligen BE;CC;;B;;
63363622;78270148;Société de laiterie de Marchissy; ;1261;Marchissy VD;CC;;B;;
63376773;63376773;Milchsammelstelle Fuhr;Fuhr  2;6370;Stans NW;CC;;B;;
63401859;63401859;Posto Raccolta Latte; ;6722;Corzoneso TI;CC;;B;;
63411197;63411197;Laiterie Centrale;Rue de Roumaz ;1965;Savièse VS;PP;;B;;
